storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
11,59.0,7314,26436.0,684,474.7494138,11229.11005,1,1
2,67.0,7314,26436.0,696,835.0439841,10030.05165,1,0
8,59.0,7314,26436.0,684,460.8256097,11217.6705,1,0
8,68.0,7314,26436.0,696,1159.608355,9793.415327,1,0
2,59.0,7314,26436.0,688,603.1424661,10327.63147,1,0
11,67.0,7314,26436.0,703,381.5716898,10349.92906,1,0
5,68.0,7314,26436.0,714,607.6196165,9454.36694,1,0
2,67.0,7314,26436.0,704,394.580418,10438.63604,1,0
5,82.0,7314,26436.0,712,857.8431569,9580.092801,1,0
11,68.0,7314,26436.0,708,807.5827,9946.922585,1,1
11,67.0,7314,26436.0,702,381.5716898,10349.92906,1,0
11,82.0,7314,26436.0,708,595.0983331,9704.034958,1,0
2,67.0,7314,26436.0,702,381.5716898,10349.92906,1,0
8,67.0,7314,26436.0,776,704.5384021,9496.591799,1,0
5,70.0,7314,26436.0,776,652.8228163,8148.737584,1,0
8,67.0,7314,26436.0,744,331.144561,9057.045938,1,0
8,68.0,7314,26436.0,724,362.0349863,8956.084158,1,0
2,68.0,7314,26436.0,726,305.1771299,9614.007911,1,0
5,68.0,7314,26436.0,737,463.0567322,8849.731816,1,0
5,68.0,7314,26436.0,726,520.980082,9807.276183,1,1
8,68.0,7314,26436.0,718,342.3289145,9640.477461,1,1
8,68.0,7314,26436.0,726,305.1771299,9614.007911,1,1
14,65.0,7314,26436.0,660,1591.402909,10028.76635,1,0
11,59.0,7314,26436.0,660,1570.2319,10051.50092,1,0
11,65.0,7314,26436.0,636,1331.747287,9583.602675,1,0
5,73.0,7314,26436.0,636,1373.721183,9315.692264,1,0
8,73.0,7314,26436.0,636,1373.721183,9315.692264,1,0
11,67.0,7314,26436.0,774,1148.014819,9622.759778,1,1
14,67.0,7314,26436.0,774,1148.014819,9622.759778,1,0
8,67.0,7314,26436.0,773,1219.772279,9630.74463,1,1
14,65.0,7314,26436.0,676,1169.550215,10458.57074,1,1
8,60.0,7314,26436.0,777,623.5263371,11002.02375,1,1
14,92.0,7314,26436.0,695,403.1123547,10554.87333,1,0
5,92.0,7314,26436.0,702,843.7764246,11394.38688,1,0
11,91.0,7314,26436.0,678,608.3468662,10957.60061,1,0
8,92.0,7314,26436.0,696,933.3296384,9887.164374,1,1
11,91.0,7314,26436.0,690,654.306833,11102.79728,1,0
17,85.0,7314,26436.0,1022,503.7863252,11148.48198,1,1
8,92.0,7314,26436.0,696,991.9277016,9944.379781,1,1
5,92.0,7314,26436.0,686,911.7728754,10999.60546,1,0
8,92.0,7314,26436.0,689,612.1247765,11067.80485,1,0
5,92.0,7314,26436.0,712,962.2935576,9720.71542,1,0
11,92.0,7314,26436.0,708,807.5827,9946.922585,1,0
14,92.0,7314,26436.0,702,307.6992845,10445.13617,1,0
14,87.0,7314,26436.0,1124,401.7341326,9702.790323,1,1
11,87.0,7314,26436.0,1124,499.9692573,9801.793438,1,0
14,87.0,7314,26436.0,1124,401.7341326,9702.790323,1,0
2,87.0,7314,26436.0,1123,401.7341326,9702.790323,1,1
5,93.0,7314,26436.0,719,295.2291738,9559.86318,1,0
11,91.0,7314,26436.0,723,278.4635932,9045.73318,1,0
11,91.0,7314,26436.0,722,141.8196053,9167.563146,1,0
5,104.0,7314,26436.0,756,722.2430725,10132.02121,1,0
2,89.0,7314,26436.0,795,348.0998704,8551.829022,1,1
11,98.0,7314,26436.0,718,656.5874865,9889.29369,1,0
2,104.0,7314,26436.0,792,443.4303878,8867.962543,1,0
2,91.0,7314,26436.0,774,567.6838663,8322.495294,1,0
11,93.0,7314,26436.0,774,567.6838663,8322.495294,1,0
11,93.0,7314,26436.0,744,331.144561,9057.045938,1,0
5,107.0,7314,26436.0,959,206.7103802,10876.06375,1,1
8,105.0,7314,26436.0,959,512.4611992,11116.83744,1,0
14,105.0,7314,26436.0,959,741.7862516,11321.58416,1,0
2,90.0,7314,26436.0,680,908.2097563,10733.89329,1,0
2,82.0,7314,26436.0,660,1378.274755,10241.98508,1,0
8,82.0,7314,26436.0,660,1440.004261,10180.77354,1,0
8,105.0,7314,26436.0,770,800.5531711,11200.27101,1,1
8,84.0,7314,26436.0,680,818.4313124,10887.79723,1,0
11,91.0,7314,26436.0,741,976.8555848,8975.791503,1,0
8,90.0,7314,26436.0,960,1121.861206,9487.367972,1,1
8,108.0,7314,26436.0,911,283.5298957,8249.634964,1,0
14,106.0,7314,26436.0,909,277.2028543,8282.342887,1,0
20,119.0,7314,26436.0,694,800.112693,10144.74293,1,1
26,118.0,7314,26436.0,714,914.8987251,10415.1464,1,1
17,118.0,7314,26436.0,714,897.1548094,10468.67734,1,1
5,123.0,7314,26436.0,694,857.8858116,11270.11417,1,0
5,132.0,7314,26436.0,868,906.771813,11431.64176,1,1
11,123.0,7314,26436.0,694,857.8858116,11270.11417,1,0
2,117.0,7314,26436.0,689,673.2624489,10746.82859,1,0
8,136.0,7314,26436.0,703,684.2312481,10058.87228,1,0
11,123.0,7314,26436.0,736,634.2731183,8432.577968,1,0
14,123.0,7314,26436.0,868,517.4780155,8812.403676,1,0
5,122.0,7314,26436.0,792,334.6404385,8776.462942,1,0
11,125.0,7314,26436.0,774,620.9915067,8307.450025,1,0
8,121.0,7314,26436.0,868,517.4780155,8812.403676,1,0
14,115.0,7314,26436.0,959,236.8431761,10905.16455,1,1
23,118.0,7314,26436.0,686,1075.256184,10547.59801,1,1
14,133.0,7314,26436.0,899,1301.660994,10325.37197,1,1
20,115.0,7314,26436.0,686,1075.256184,10547.59801,1,0
5,133.0,7314,26436.0,751,915.9348929,9326.589873,1,0
5,126.0,7314,26436.0,868,1031.106354,9017.314762,1,1
8,128.0,7314,26436.0,909,283.9726101,8310.312113,1,1
23,120.0,7314,26436.0,678,769.7649824,10892.70082,1,1
